slot_id,template_id,primary_keyword,secondary_keywords,region,intent,persona,modifier_1,modifier_2,entity_id,estimated_search_volume,competition_kd,priority_score,status,target_publish_date,assigned_to,internal_link_targets,title_pattern_seed,seo_objective,notes
T07_daa28b5f,T07,부산운전면허학원,,부산,비교추천,,,,,2800,40,83.96,planned,2026-05-29,,,부산 운전면허 비교추천 종합 가이드,검색 노출 / 클러스터: T07,
T07_361bec18,T07,부산운전면허학원,,부산,가이드총정리,,,,,2800,40,83.96,planned,2026-05-29,,,부산 운전면허 가이드총정리 종합 가이드,검색 노출 / 클러스터: T07,
T07_51cc3543,T07,부산운전면허학원,,부산,비용절약,,,,,2800,40,83.96,planned,2026-05-29,,,부산 운전면허 비용절약 종합 가이드,검색 노출 / 클러스터: T07,
T05_77e41390,T05,국제운전면허증 비용 절약,,,,직장인,2026,,,5400,30,73.88,planned,2026-05-29,,,국제운전면허증 비용 절약 전략 BEST 7 (직장인),검색 노출 / 클러스터: T05,
T05_241bc130,T05,국제운전면허증 비용 절약,,,,직장인,최단기,,,5400,30,73.88,planned,2026-05-29,,,국제운전면허증 비용 절약 전략 BEST 7 (직장인),검색 노출 / 클러스터: T05,
T05_9f62fc63,T05,국제운전면허증 비용 절약,,,,직장인,비용절약,,,5400,30,73.88,planned,2026-05-30,,,국제운전면허증 비용 절약 전략 BEST 7 (직장인),검색 노출 / 클러스터: T05,
T05_96c9eb52,T05,국제운전면허증 비용 절약,,,,직장인,친절강사,,,5400,30,73.88,planned,2026-05-30,,,국제운전면허증 비용 절약 전략 BEST 7 (직장인),검색 노출 / 클러스터: T05,
T05_91ab092f,T05,국제운전면허증 비용 절약,,,,직장인,셔틀편리,,,5400,30,73.88,planned,2026-05-30,,,국제운전면허증 비용 절약 전략 BEST 7 (직장인),검색 노출 / 클러스터: T05,
T05_af728332,T05,국제운전면허증 비용 절약,,,,직장인,야간반,,,5400,30,73.88,planned,2026-05-30,,,국제운전면허증 비용 절약 전략 BEST 7 (직장인),검색 노출 / 클러스터: T05,
T05_3f10d4c3,T05,국제운전면허증 비용 절약,,,,직장인,주말반,,,5400,30,73.88,planned,2026-05-30,,,국제운전면허증 비용 절약 전략 BEST 7 (직장인),검색 노출 / 클러스터: T05,
T03_77e41390,T03,국제운전면허증,,,,직장인,2026,,,5400,30,69.99,planned,2026-05-31,,,국제운전면허증 완벽 가이드 (직장인 기준),검색 노출 / 클러스터: T03,
T03_241bc130,T03,국제운전면허증,,,,직장인,최단기,,,5400,30,69.99,planned,2026-05-31,,,국제운전면허증 완벽 가이드 (직장인 기준),검색 노출 / 클러스터: T03,
T03_9f62fc63,T03,국제운전면허증,,,,직장인,비용절약,,,5400,30,69.99,planned,2026-05-31,,,국제운전면허증 완벽 가이드 (직장인 기준),검색 노출 / 클러스터: T03,
T03_96c9eb52,T03,국제운전면허증,,,,직장인,친절강사,,,5400,30,69.99,planned,2026-05-31,,,국제운전면허증 완벽 가이드 (직장인 기준),검색 노출 / 클러스터: T03,
T03_91ab092f,T03,국제운전면허증,,,,직장인,셔틀편리,,,5400,30,69.99,planned,2026-05-31,,,국제운전면허증 완벽 가이드 (직장인 기준),검색 노출 / 클러스터: T03,
T03_af728332,T03,국제운전면허증,,,,직장인,야간반,,,5400,30,69.99,planned,2026-06-01,,,국제운전면허증 완벽 가이드 (직장인 기준),검색 노출 / 클러스터: T03,
T03_3f10d4c3,T03,국제운전면허증,,,,직장인,주말반,,,5400,30,69.99,planned,2026-06-01,,,국제운전면허증 완벽 가이드 (직장인 기준),검색 노출 / 클러스터: T03,
T03_f57443ff,T03,국제운전면허증,,,,직장인,빠른취득,,,5400,30,69.99,planned,2026-06-01,,,국제운전면허증 완벽 가이드 (직장인 기준),검색 노출 / 클러스터: T03,
T03_1965f381,T03,국제운전면허증,,,,직장인,합격률높은,,,5400,30,69.99,planned,2026-06-01,,,국제운전면허증 완벽 가이드 (직장인 기준),검색 노출 / 클러스터: T03,
T03_952aa0b6,T03,국제운전면허증,,,,직장인,가성비,,,5400,30,69.99,planned,2026-06-01,,,국제운전면허증 완벽 가이드 (직장인 기준),검색 노출 / 클러스터: T03,
T01_76de67db,T01,부산운전면허학원,,부산,,직장인,2026,최단기,,2800,40,69.96,planned,2026-06-02,,,부산운전면허학원 BEST 5: 직장인 추천: 2026,검색 노출 / 클러스터: T01,
T01_8b534f20,T01,부산운전면허학원,,부산,,직장인,2026,비용절약,,2800,40,69.96,planned,2026-06-02,,,부산운전면허학원 BEST 5: 직장인 추천: 2026,검색 노출 / 클러스터: T01,
T01_99a0a984,T01,부산운전면허학원,,부산,,직장인,2026,친절강사,,2800,40,69.96,planned,2026-06-02,,,부산운전면허학원 BEST 5: 직장인 추천: 2026,검색 노출 / 클러스터: T01,
T01_1bfa81c2,T01,부산운전면허학원,,부산,,직장인,2026,셔틀편리,,2800,40,69.96,planned,2026-06-02,,,부산운전면허학원 BEST 5: 직장인 추천: 2026,검색 노출 / 클러스터: T01,
T01_77570dab,T01,부산운전면허학원,,부산,,직장인,2026,야간반,,2800,40,69.96,planned,2026-06-02,,,부산운전면허학원 BEST 5: 직장인 추천: 2026,검색 노출 / 클러스터: T01,
T01_1ba5b82a,T01,부산운전면허학원,,부산,,직장인,2026,주말반,,2800,40,69.96,planned,2026-06-03,,,부산운전면허학원 BEST 5: 직장인 추천: 2026,검색 노출 / 클러스터: T01,
T01_5af8afa1,T01,부산운전면허학원,,부산,,직장인,2026,빠른취득,,2800,40,69.96,planned,2026-06-03,,,부산운전면허학원 BEST 5: 직장인 추천: 2026,검색 노출 / 클러스터: T01,
T01_233f7802,T01,부산운전면허학원,,부산,,직장인,2026,합격률높은,,2800,40,69.96,planned,2026-06-03,,,부산운전면허학원 BEST 5: 직장인 추천: 2026,검색 노출 / 클러스터: T01,
T01_5cccd66a,T01,부산운전면허학원,,부산,,직장인,2026,가성비,,2800,40,69.96,planned,2026-06-03,,,부산운전면허학원 BEST 5: 직장인 추천: 2026,검색 노출 / 클러스터: T01,
T01_687c16ff,T01,부산운전면허학원,,부산,,직장인,2026,편의시설,,2800,40,69.96,planned,2026-06-03,,,부산운전면허학원 BEST 5: 직장인 추천: 2026,검색 노출 / 클러스터: T01,
T01_f93b2de1,T01,부산운전면허학원,,부산,,직장인,2026,신차보유,,2800,40,69.96,planned,2026-06-04,,,부산운전면허학원 BEST 5: 직장인 추천: 2026,검색 노출 / 클러스터: T01,
T01_44951f8d,T01,부산운전면허학원,,부산,,직장인,최단기,비용절약,,2800,40,69.96,planned,2026-06-04,,,부산운전면허학원 BEST 5: 직장인 추천: 최단기,검색 노출 / 클러스터: T01,
T01_fe1427cc,T01,부산운전면허학원,,부산,,직장인,최단기,친절강사,,2800,40,69.96,planned,2026-06-04,,,부산운전면허학원 BEST 5: 직장인 추천: 최단기,검색 노출 / 클러스터: T01,
T01_46f887f7,T01,부산운전면허학원,,부산,,직장인,최단기,셔틀편리,,2800,40,69.96,planned,2026-06-04,,,부산운전면허학원 BEST 5: 직장인 추천: 최단기,검색 노출 / 클러스터: T01,
T01_7ee6a796,T01,부산운전면허학원,,부산,,직장인,최단기,야간반,,2800,40,69.96,planned,2026-06-04,,,부산운전면허학원 BEST 5: 직장인 추천: 최단기,검색 노출 / 클러스터: T01,
T01_52ada07e,T01,부산운전면허학원,,부산,,직장인,최단기,주말반,,2800,40,69.96,planned,2026-06-05,,,부산운전면허학원 BEST 5: 직장인 추천: 최단기,검색 노출 / 클러스터: T01,
T01_4ee85cf0,T01,부산운전면허학원,,부산,,직장인,최단기,빠른취득,,2800,40,69.96,planned,2026-06-05,,,부산운전면허학원 BEST 5: 직장인 추천: 최단기,검색 노출 / 클러스터: T01,
T01_fd0fd1fc,T01,부산운전면허학원,,부산,,직장인,최단기,합격률높은,,2800,40,69.96,planned,2026-06-05,,,부산운전면허학원 BEST 5: 직장인 추천: 최단기,검색 노출 / 클러스터: T01,
T06_e046536f,T06,국제운전면허증,,,비교추천,,,,,5400,30,66.1,planned,2026-06-05,,,국제운전면허증 합격 핵심 BEST 5 — 가장 많이 출제되는 유형,검색 노출 / 클러스터: T06,
T06_e49721de,T06,국제운전면허증,,,가이드총정리,,,,,5400,30,66.1,planned,2026-06-05,,,국제운전면허증 합격 핵심 BEST 5 — 가장 많이 출제되는 유형,검색 노출 / 클러스터: T06,
T06_e2c6fb28,T06,국제운전면허증,,,비용절약,,,,,5400,30,66.1,planned,2026-06-06,,,국제운전면허증 합격 핵심 BEST 5 — 가장 많이 출제되는 유형,검색 노출 / 클러스터: T06,
T06_c2558c36,T06,국제운전면허증,,,후기리뷰,,,,,5400,30,66.1,planned,2026-06-06,,,국제운전면허증 합격 핵심 BEST 5 — 가장 많이 출제되는 유형,검색 노출 / 클러스터: T06,
T02_f58dda89,T02,부산,,부산,,,2026,,{ENTITY_PLACEHOLDER},2800,40,55.97,planned,2026-06-06,,,부산,검색 노출 / 클러스터: T02,
T02_47d50978,T02,부산,,부산,,,최단기,,{ENTITY_PLACEHOLDER},2800,40,55.97,planned,2026-06-06,,,부산,검색 노출 / 클러스터: T02,
T02_0a7b8ea1,T02,부산,,부산,,,비용절약,,{ENTITY_PLACEHOLDER},2800,40,55.97,planned,2026-06-06,,,부산,검색 노출 / 클러스터: T02,
T02_ba76107f,T02,부산,,부산,,,친절강사,,{ENTITY_PLACEHOLDER},2800,40,55.97,planned,2026-06-07,,,부산,검색 노출 / 클러스터: T02,
T02_38db96dd,T02,부산,,부산,,,셔틀편리,,{ENTITY_PLACEHOLDER},2800,40,55.97,planned,2026-06-07,,,부산,검색 노출 / 클러스터: T02,
T04_9e44f5aa,T04,,,,,직장인,,,,5400,50,48.84,planned,2026-06-07,,,직장인,검색 노출 / 클러스터: T04,
T04_3a80cf9a,T04,,,,,대학생,,,,5400,50,48.84,planned,2026-06-07,,,대학생,검색 노출 / 클러스터: T04,
T04_74ee6a06,T04,,,,,사회초년생,,,,5400,50,48.84,planned,2026-06-07,,,사회초년생,검색 노출 / 클러스터: T04,
